Tiuribis,Snatchpd,jaum22,hello_mrthompson,Desperate_Tadpole545,leofedeno,neverpostnorcomment,CebolitosLover,Due-Ring-1258,smegma_yogurt,brotocarioca,lordcanarin,burnermanx,RogueBromeliad,KidAInRainbowsOk,slimpedroca,notimano,Misantropicalia,DeepNavyBlue,OptimalSurprise9437,RakonHenri,Percilia,mxosborn,Opistoleiro666,pororoca_surfer
1701530536.0,1702172096.0,1702181044.0,1702142217.0,1701656969.0,1701390571.0,1701606890.0,1702057125.0,1702159088.0,1701510584.0,1701303393.0,1701551637.0,1702230493.0,1702131235.0,1701898747.0,1701917742.0,1701811118.0,1701542881.0,1702161753.0,1701914398.0,1702226642.0,1701046986.0,1702077708.0,1700484676.0,1702227445.0
1701255377.0,1702156129.0,1702172899.0,1702129376.0,1701473254.0,1701389390.0,1701606534.0,1702056470.0,1702158850.0,1701475525.0,1701183731.0,1701544233.0,1702217493.0,1702127580.0,1701812616.0,1701917680.0,1701810992.0,1701542411.0,1702161651.0,1701908773.0,1702226603.0,1701035757.0,1702056057.0,1700484584.0,1702196668.0
1701034087.0,1702155436.0,1702161105.0,1702128329.0,1701449512.0,1701388668.0,1701597954.0,1702046210.0,1702157770.0,1701447500.0,1701132669.0,1701543501.0,1702217278.0,1702127362.0,1701812435.0,1701917572.0,1701805983.0,1701534044.0,1702157558.0,1701906461.0,1702226426.0,1701035137.0,1702055990.0,1700484241.0,1702183640.0
1701021807.0,1702152405.0,1702155084.0,1702126071.0,1701449187.0,1701387950.0,1701435934.0,1702038319.0,1702134345.0,1701274384.0,1701130560.0,1701542631.0,1702217051.0,1702127233.0,1701807781.0,1701879902.0,1701805818.0,1701531153.0,1702157078.0,1701635203.0,1702159089.0,1701023334.0,1702051221.0,1700484142.0,1702177831.0
1700837569.0,1702151372.0,1702148720.0,1702122491.0,1701449082.0,1701387838.0,1701430938.0,1702038265.0,1702131585.0,1701213757.0,1701032114.0,1701533901.0,1702148445.0,1702126825.0,1701805089.0,1701704853.0,1701805754.0,1701297690.0,1702156944.0,1701622726.0,1702156898.0,1701023239.0,1702049417.0,1700484111.0,1702164825.0
1700761764.0,1702151241.0,1702148631.0,1702088549.0,1701312141.0,1701387580.0,1701270276.0,1702035407.0,1702120328.0,1701125731.0,1700656152.0,1701412740.0,1702134836.0,1702126069.0,1701804940.0,1701539024.0,1701714781.0,1701287136.0,1702156710.0,1701621386.0,1702132589.0,1700755206.0,1702046985.0,1700484064.0,1702164611.0
1700440517.0,1702144148.0,1702145418.0,1702088239.0,1701278757.0,1701387133.0,1701217362.0,1702035283.0,1702120113.0,1701106512.0,1700656004.0,1701398940.0,1702134767.0,1702121410.0,1701804729.0,1701434666.0,1701714751.0,1701212418.0,1702153047.0,1701601979.0,1702132532.0,1700451238.0,1702002738.0,1700429063.0,1702163602.0
1700330203.0,1702131926.0,1702143951.0,1701960464.0,1700999999.0,1701386511.0,1701183051.0,1702003487.0,1702120024.0,1701103871.0,1700655325.0,1701398173.0,1702132107.0,1702109499.0,1701722662.0,1701383767.0,1701714539.0,1701108952.0,1702151405.0,1701600941.0,1702132442.0,1700436957.0,1701999240.0,1700419566.0,1702150887.0
1700327531.0,1702131645.0,1702143616.0,1701647518.0,1700911230.0,1701307424.0,1700945721.0,1702003359.0,1702119219.0,1701040667.0,1700654937.0,1701186252.0,1702132021.0,1702109216.0,1701720439.0,1701381609.0,1701714482.0,1701048000.0,1702137026.0,1701518093.0,1701924038.0,1700434745.0,1701998650.0,1700418722.0,1702137486.0
1700271265.0,1702130979.0,1702142412.0,1701633153.0,1700723835.0,1701306892.0,1700784605.0,1702002899.0,1702118939.0,1700944810.0,1700650613.0,1701101259.0,1702131943.0,1702045265.0,1701720102.0,1701338765.0,1701546290.0,1701045580.0,1702136838.0,1701473946.0,1701924016.0,1700434347.0,1701998284.0,1700418468.0,1702137306.0
1700235624.0,1702127480.0,1702142239.0,1701626884.0,1700708484.0,1701299303.0,1700770513.0,1701989001.0,1702118793.0,1700849783.0,1700650383.0,1701047161.0,1702131651.0,1702031918.0,1701719981.0,1701300229.0,1701546179.0,1701044535.0,1702133385.0,1701305452.0,1701923982.0,1700413205.0,1701994032.0,1700409931.0,1702123976.0
1700186490.0,1702127321.0,1702133842.0,1701626807.0,1700678313.0,1701299079.0,1700755610.0,1701983308.0,1702088475.0,1700832309.0,1700650348.0,1701040062.0,1702131558.0,1702024045.0,1701719551.0,1701287024.0,1701534455.0,1701041809.0,1702132703.0,1701301317.0,1701923871.0,1700392837.0,1701992606.0,1700408535.0,1701956776.0
1700180600.0,1702126564.0,1702128838.0,1701625551.0,1700404537.0,1701275804.0,1700755165.0,1701976012.0,1702088418.0,1700810650.0,1700650316.0,1701038235.0,1702131446.0,1702003658.0,1701674782.0,1701281758.0,1701534419.0,1701041200.0,1702126633.0,1701126984.0,1701887038.0,1700328566.0,1701992426.0,1700408553.0,1701948633.0
1699929896.0,1702088967.0,1702064755.0,1701625177.0,1700361043.0,1701236217.0,1700754864.0,1701975942.0,1702067619.0,1700805913.0,1700649388.0,1700503380.0,1702130691.0,1702002801.0,1701674558.0,1701202395.0,1701534361.0,1701040515.0,1702124314.0,1701039367.0,1701881625.0,1700259959.0,1701991981.0,1700408508.0,1701901568.0
1699928433.0,1702081370.0,1702051589.0,1701624630.0,1700358300.0,1701129306.0,1700754617.0,1701965993.0,1702066154.0,1700756488.0,1700649148.0,1700493787.0,1702129832.0,1702002440.0,1701673736.0,1701196816.0,1701534306.0,1701038689.0,1702073046.0,1700874152.0,1701813235.0,1700130848.0,1701991806.0,1700408067.0,1701898827.0
1699915384.0,1702080553.0,1702040788.0,1701624536.0,1700358150.0,1701105865.0,1700752420.0,1701965030.0,1702066126.0,1700711158.0,1700622868.0,1700492530.0,1702129214.0,1702001308.0,1701655832.0,1701180422.0,1701534154.0,1701038420.0,1702043276.0,1700852734.0,1701812986.0,1699547247.0,1701991711.0,1700408045.0,1701893949.0
1699883064.0,1702074894.0,1702037389.0,1701624367.0,1700357501.0,1679448775.0,1700590532.0,1701946974.0,1702066030.0,1700697217.0,1700622795.0,1700097604.0,1702052929.0,1701999497.0,1701639170.0,1701112581.0,1701384515.0,1701037166.0,1702040849.0,1700747612.0,1701780140.0,1699319468.0,1701991556.0,1700407231.0,1701893868.0
1699842038.0,1702067926.0,1702037020.0,1701609970.0,1700356293.0,1677943638.0,1700584981.0,1701911174.0,1702065935.0,1700695029.0,1700622522.0,1700064760.0,1702043065.0,1701975205.0,1701639001.0,1700835110.0,1701384287.0,1701036484.0,1701998809.0,1700747417.0,1701751296.0,1699319337.0,1701989859.0,1700340672.0,1701893719.0
1699723281.0,1702057969.0,1702036850.0,1701565288.0,1700354939.0,1677799811.0,1700579106.0,1701911127.0,1702063897.0,1700692019.0,1700620877.0,1699937158.0,1701957007.0,1701962957.0,1701635119.0,1700834265.0,1701266804.0,1701036181.0,1701998303.0,1700658834.0,1701751221.0,1699241268.0,1701989823.0,1700223916.0,1701884211.0
1699663981.0,1702056251.0,1702036601.0,1701553836.0,1700354895.0,1677768317.0,1700253310.0,1701899037.0,1702063269.0,1700585577.0,1700620863.0,1699149194.0,1701956780.0,1701961459.0,1701634821.0,1700834002.0,1701211939.0,1701035872.0,1701998249.0,1700410110.0,1701731197.0,1698455031.0,1701989787.0,1700153963.0,1701874069.0
1699649872.0,1702049511.0,1702036047.0,1701539135.0,1700353921.0,1677712069.0,1700245958.0,1701899031.0,1702062189.0,1700501032.0,1700620845.0,1699136887.0,1701956689.0,1701959101.0,1701634564.0,1700825234.0,1701211355.0,1701034628.0,1701997581.0,1700401449.0,1701731167.0,1698114773.0,1701988315.0,1700153859.0,1701873261.0
1699646843.0,1702049343.0,1702035847.0,1701451830.0,1700353827.0,1677708694.0,1700137674.0,1701895842.0,1702061832.0,1700445707.0,1700620787.0,1698993149.0,1701956348.0,1701948646.0,1701634222.0,1700759479.0,1701209324.0,1701007581.0,1701981441.0,1700311588.0,1701728813.0,1698114108.0,1701987561.0,1700153790.0,1701872109.0
1699548996.0,1702049268.0,1702009540.0,1701392690.0,1700338982.0,1677708497.0,1700137298.0,1701893426.0,1702060758.0,1700445311.0,1700616736.0,1698523795.0,1701956079.0,1701947415.0,1701632141.0,1700699521.0,1701202977.0,1700869488.0,1701976604.0,1700041101.0,1701699379.0,1697755189.0,1701987242.0,1700153658.0,1701861127.0
1699067004.0,1702043537.0,1702004325.0,1701388684.0,1700337509.0,1677694317.0,1700134639.0,1701889148.0,1702060721.0,1700368326.0,1700616398.0,1698443448.0,1701882526.0,1701942609.0,1701632033.0,1700661086.0,1700937063.0,1700710826.0,1701961146.0,1700039847.0,1701699356.0,1697755102.0,1701984526.0,1700153641.0,1701861070.0
1699064421.0,1702035353.0,1702002274.0,1701078565.0,1700331880.0,1677688240.0,1699822649.0,1701878398.0,1702058264.0,1700350319.0,1700615720.0,1698011742.0,1701882470.0,1701932233.0,1701631936.0,1700653246.0,1700934721.0,1700690495.0,1701960860.0,1700002343.0,1701699121.0,1697754602.0,1701984335.0,1700148574.0,1701860922.0
1699056429.0,1702035110.0,1702002191.0,1701076485.0,1700251882.0,1677607419.0,1699727747.0,1701862656.0,1702058154.0,1700225030.0,1700615548.0,1697947797.0,1701872027.0,1701930684.0,1701631572.0,1700653006.0,1700934555.0,1700690415.0,1701960046.0,1699958077.0,1701699088.0,1697590401.0,1701984275.0,1700143638.0,1701860631.0
1698935342.0,1701990881.0,1701998387.0,1700965369.0,1700231743.0,1677595004.0,1699537474.0,1701862579.0,1702053059.0,1700203154.0,1700614995.0,1697923792.0,1701871971.0,1701930647.0,1701552378.0,1700648833.0,1700675349.0,1700690350.0,1701959963.0,1699932000.0,1701666221.0,1697470429.0,1701984229.0,1700143611.0,1701860514.0
1698920608.0,1701989798.0,1701998234.0,1700964827.0,1700191245.0,1677593575.0,1699536750.0,1701828280.0,1702053009.0,1700018593.0,1700614956.0,1697922792.0,1701871917.0,1701922930.0,1701551673.0,1700569141.0,1700673446.0,1700690306.0,1701958147.0,1699883966.0,1701643008.0,1697291156.0,1701975125.0,1700143589.0,1701860253.0
1698900727.0,1701989419.0,1701995289.0,1700964342.0,1700189635.0,1677593144.0,1699488346.0,1701781001.0,1702045280.0,1700003358.0,1700613957.0,1697913902.0,1701871444.0,1701922425.0,1701551456.0,1700566160.0,1700672829.0,1700690166.0,1701955590.0,1699868105.0,1701635903.0,1695761721.0,1701974730.0,1700141691.0,1701860144.0
1698872752.0,1701989166.0,1701968223.0,1700964223.0,1700189014.0,1677557296.0,1699305029.0,1701743062.0,1702044847.0,1700002445.0,1700613893.0,1697913521.0,1701832236.0,1701884828.0,1701550303.0,1700496203.0,1700408675.0,1700544553.0,1701955505.0,1699791211.0,1701552779.0,1695742666.0,1701974198.0,1700138945.0,1701860099.0
1698810731.0,1701989139.0,1701967559.0,1700963597.0,1700188855.0,1677295124.0,1699280154.0,1701715302.0,1702044626.0,1699978022.0,1700613032.0,1697912691.0,1701821271.0,1701882139.0,1701473601.0,1700435066.0,1700393622.0,1700523088.0,1701953568.0,1699435010.0,1701515330.0,1695582163.0,1701972060.0,1700138961.0,1701859971.0
1698796911.0,1701979547.0,1701967531.0,1700932765.0,1700188484.0,1677291893.0,1699280006.0,1701692003.0,1702044471.0,1699972559.0,1700612447.0,1697848342.0,1701799011.0,1701858313.0,1701473488.0,1700421460.0,1700342439.0,1700512269.0,1701953138.0,1699387789.0,1701515306.0,1695518901.0,1701971738.0,1700137635.0,1701818013.0
1698453701.0,1701974441.0,1701883831.0,1700910447.0,1700186679.0,1677291693.0,1698686978.0,1701687888.0,1702044355.0,1699971515.0,1700612405.0,1697847554.0,1701798472.0,1701857732.0,1701471764.0,1700418776.0,1700341797.0,1700495791.0,1701952982.0,1699384671.0,1701515167.0,1694354263.0,1701971614.0,1700137227.0,1701817756.0
1697984712.0,1701967694.0,1701879858.0,1700883159.0,1700177048.0,1677247812.0,1698678434.0,1701596111.0,1702044193.0,1699792736.0,1700611509.0,1697847394.0,1701739173.0,1701857453.0,1701464550.0,1700407355.0,1700341031.0,1700447753.0,1701952892.0,1699384308.0,1701487882.0,1693359776.0,1701970832.0,1700137017.0,1701787225.0
1697984163.0,1701966993.0,1701829504.0,1700875075.0,1700101525.0,1677091461.0,1698676716.0,1701566445.0,1702044112.0,1699718883.0,1700610607.0,1697833171.0,1701738827.0,1701856644.0,1701464299.0,1700407259.0,1700340972.0,1700447481.0,1701952858.0,1699266462.0,1701487093.0,1693010614.0,1701970423.0,1700136756.0,1701787163.0
1697938094.0,1701966787.0,1701820245.0,1700874875.0,1700099997.0,1676923300.0,1698674249.0,1701566288.0,1702043738.0,1699646666.0,1700610150.0,1697517145.0,1701738719.0,1701853069.0,1701464088.0,1700403623.0,1700340916.0,1700422577.0,1701952789.0,1699229729.0,1701478827.0,1689266747.0,1701970373.0,1700013358.0,1701783786.0
1697879449.0,1701966586.0,1701816833.0,1700873251.0,1699624472.0,1676923243.0,1698673430.0,1701566134.0,1702043601.0,1699646535.0,1700610014.0,1697516550.0,1701631206.0,1701816438.0,1701463958.0,1700313591.0,1700306475.0,1700418915.0,1701952486.0,1699227253.0,1701478398.0,1687712103.0,1701970193.0,1700005941.0,1701720191.0
1697736533.0,1701961692.0,1701816357.0,1700871011.0,1699613841.0,1676915462.0,1698669030.0,1701566056.0,1702042464.0,1699630603.0,1700609240.0,1697514853.0,1701626709.0,1701816135.0,1701463881.0,1700313127.0,1700157838.0,1700418884.0,1701947238.0,1699105801.0,1701478224.0,1686155581.0,1701970118.0,1700005912.0,1701719780.0
1697735830.0,1701961584.0,1701803197.0,1700865703.0,1699613369.0,1676737131.0,1698454015.0,1701469673.0,1702042160.0,1699479366.0,1700608883.0,1697508721.0,1701576841.0,1701805807.0,1701461362.0,1700252066.0,1700157785.0,1700418067.0,1701946922.0,1698926825.0,1701442538.0,1683459463.0,1701969867.0,1699994552.0,1701719594.0
1697703424.0,1701949163.0,1701794345.0,1700756961.0,1699612935.0,1676689074.0,1698442512.0,1701457607.0,1702041506.0,1699436582.0,1700608848.0,1697508637.0,1701576700.0,1701791503.0,1701460945.0,1700234274.0,1700156958.0,1700416562.0,1701946827.0,1698922215.0,1701438808.0,1683414540.0,1701969607.0,1699885304.0,1701718297.0
1697687623.0,1701913165.0,1701794277.0,1700756855.0,1699612459.0,1676688099.0,1698280575.0,1701454537.0,1702041407.0,1699405624.0,1700608803.0,1696919317.0,1701575926.0,1701784600.0,1701460682.0,1700226692.0,1700085057.0,1700355243.0,1701946709.0,1698611082.0,1701438723.0,1682971197.0,1701969524.0,1699565513.0,1701704058.0
1697683107.0,1701895816.0,1701789598.0,1700754015.0,1699585950.0,1676687933.0,1698267421.0,1701454500.0,1702041043.0,1699405294.0,1700608700.0,1696372785.0,1701568510.0,1701784245.0,1701460368.0,1700136638.0,1700073931.0,1700079486.0,1701945338.0,1698159746.0,1701430328.0,1675548805.0,1701969401.0,1699546105.0,1701702493.0
1697665140.0,1701877706.0,1701789347.0,1700753252.0,1699581557.0,1676687301.0,1698072828.0,1701454310.0,1702040972.0,1699403994.0,1700608397.0,1696093729.0,1701563960.0,1701784054.0,1701452319.0,1700081599.0,1700055668.0,1699892209.0,1701945229.0,1698116413.0,1701383215.0,1674772937.0,1701969240.0,1699497908.0,1701702346.0
1697632929.0,1701877677.0,1701789229.0,1700736641.0,1699581452.0,1676687219.0,1698019958.0,1701437233.0,1702040797.0,1699403860.0,1700608313.0,1696093013.0,1701563639.0,1701751336.0,1701451932.0,1700064777.0,1700001006.0,1699890581.0,1701944933.0,1698115114.0,1701383190.0,1674772724.0,1701969062.0,1698431441.0,1701702154.0
1697566664.0,1701864126.0,1701789156.0,1700712429.0,1699574545.0,1676679493.0,1697981139.0,1701429744.0,1702040639.0,1699403699.0,1700607882.0,1695953831.0,1701563544.0,1701750892.0,1701451802.0,1699983643.0,1699997745.0,1699814794.0,1701944754.0,1696374210.0,1701381568.0,1667808713.0,1701968214.0,1698100386.0,1701701966.0
1697489051.0,1701863858.0,1701789100.0,1700707013.0,1699570594.0,1676678794.0,1697908316.0,1701429665.0,1702040476.0,1699368486.0,1700607840.0,1695873680.0,1701563491.0,1701748256.0,1701451775.0,1699982946.0,1699995563.0,1699756095.0,1701944674.0,1695982490.0,1701381474.0,1667762184.0,1701967976.0,1698100336.0,1701699043.0
1697408509.0,1701860839.0,1701735923.0,1700706552.0,1699553627.0,1676675996.0,1697827884.0,1701393092.0,1702040230.0,1699322633.0,1700607714.0,1695412809.0,1701563110.0,1701729504.0,1701451545.0,1699969172.0,1699995196.0,1699754626.0,1701944605.0,1694134479.0,1701381137.0,1667522910.0,1701966343.0,1698065159.0,1701698337.0
1697254804.0,1701819436.0,1701735747.0,1700700471.0,1699553565.0,1676675917.0,1697827859.0,1701287094.0,1702040139.0,1699288224.0,1700607568.0,1695412710.0,1701562908.0,1701729444.0,1701451308.0,1699956730.0,1699994671.0,1699581692.0,1701944548.0,1687626501.0,1701381031.0,1667045084.0,1701966169.0,1698065059.0,1701697184.0
1697119949.0,1701818503.0,1701734951.0,1700697057.0,1699553409.0,1676675255.0,1697764968.0,1701264633.0,1702039867.0,1699288044.0,1700607336.0,1695313057.0,1701464333.0,1701728992.0,1701450937.0,1699956154.0,1699915847.0,1699404087.0,1701944498.0,1686910910.0,1701364277.0,1666699748.0,1701964454.0,1698064831.0,1701689133.0
1697119820.0,1701818215.0,1701734387.0,1700665430.0,1699481124.0,1676600952.0,1697724382.0,1701256697.0,1702039544.0,1699117029.0,1700606857.0,1695260881.0,1701461767.0,1701728896.0,1701408513.0,1699703310.0,1699913913.0,1699305513.0,1701944405.0,1686434795.0,1701362536.0,1665888524.0,1701964170.0,1698058681.0,1701651433.0
1697056414.0,1701795300.0,1701733804.0,1700625985.0,1699476024.0,1676599212.0,1697719989.0,1701256477.0,1702039475.0,1699073942.0,1700606832.0,1695260796.0,1701455733.0,1701728243.0,1701408301.0,1699703272.0,1699913861.0,1699305065.0,1701944126.0,1686099650.0,1701362509.0,1665886609.0,1701960517.0,1698058522.0,1701636486.0
1696818538.0,1701794571.0,1701733762.0,1700625267.0,1699235069.0,1676598302.0,1697585376.0,1701202337.0,1702039211.0,1699024402.0,1700606088.0,1695025617.0,1701298534.0,1701727910.0,1701404734.0,1699653099.0,1699913732.0,1699302518.0,1701903912.0,1685985891.0,1701306552.0,1664335636.0,1701960453.0,1697211992.0,1701620683.0
1696818249.0,1701790326.0,1701717837.0,1700617045.0,1699233335.0,1676597589.0,1697500451.0,1701202316.0,1702039105.0,1699024189.0,1700605789.0,1695006698.0,1701287866.0,1701727709.0,1701404619.0,1699630417.0,1699913645.0,1698802346.0,1701903042.0,1685972080.0,1701306514.0,1664246679.0,1701959217.0,1693237551.0,1701557021.0
1696817095.0,1701783886.0,1701715843.0,1700609249.0,1699233222.0,1676597451.0,1697480379.0,1701202247.0,1702035066.0,1699024077.0,1700605760.0,1695006021.0,1701286990.0,1701727633.0,1701404506.0,1699620877.0,1699911025.0,1698367459.0,1701901863.0,1685966632.0,1701282673.0,1663932060.0,1701959103.0,1692924271.0,1701555718.0
1696636993.0,1701781683.0,1701714084.0,1700567805.0,1699233189.0,1676597304.0,1697395182.0,1701197267.0,1702034948.0,1699018421.0,1700605717.0,1694995374.0,1701286940.0,1701727589.0,1701404230.0,1699619604.0,1699910817.0,1698354478.0,1701901394.0,1685966593.0,1701188308.0,1663691913.0,1701958978.0,1692820135.0,1701552030.0
1696293145.0,1701780634.0,1701706808.0,1700531356.0,1699229518.0,1676573247.0,1697220450.0,1701197162.0,1702003965.0,1699012129.0,1700605129.0,1694928034.0,1701281445.0,1701727116.0,1701387365.0,1699559714.0,1699910742.0,1698352711.0,1701900837.0,1685775304.0,1701188289.0,1663254595.0,1701958903.0,1692812063.0,1701547177.0
1695958431.0,1701779722.0,1701706073.0,1700531143.0,1699229381.0,1676520802.0,1697217496.0,1701197131.0,1701999686.0,1699011951.0,1700604662.0,1694900892.0,1701196443.0,1701726558.0,1701385490.0,1699468902.0,1699910731.0,1698352384.0,1701899743.0,1685704602.0,1701172368.0,1663253490.0,1701958636.0,1692807303.0,1701518683.0
1695902231.0,1701774308.0,1701698258.0,1700525394.0,1699069530.0,1676520523.0,1697215549.0,1701197095.0,1701999575.0,1698987752.0,1700604614.0,1694899823.0,1701195210.0,1701726103.0,1701383777.0,1699392268.0,1699891978.0,1698350758.0,1701899186.0,1685703125.0,1701172352.0,1656990622.0,1701958464.0,1692807292.0,1701508225.0
1695861219.0,1701733961.0,1701697865.0,1700505019.0,1699047836.0,1676512274.0,1697047091.0,1701194626.0,1701999474.0,1698864267.0,1700604348.0,1694796241.0,1701194993.0,1701725964.0,1701383666.0,1699139806.0,1699834043.0,1698345294.0,1701899083.0,1685701741.0,1701170566.0,1656818662.0,1701958111.0,1692804742.0,1701507596.0
1695734981.0,1701732512.0,1701696719.0,1700435689.0,1698975538.0,1676511282.0,1697045395.0,1701140353.0,1701980234.0,1698853729.0,1700604294.0,1694742252.0,1701191298.0,1701725729.0,1701383539.0,1699114015.0,1699794028.0,1698344093.0,1701898674.0,1685700875.0,1701170408.0,1656555791.0,1701958041.0,1692804718.0,1701507543.0
1695734892.0,1701732171.0,1701690509.0,1700431336.0,1698931272.0,1676510782.0,1696984845.0,1701136221.0,1701980161.0,1698767606.0,1700604226.0,1694664660.0,1701191129.0,1701725635.0,1701379856.0,1699110591.0,1699731642.0,1698284629.0,1701897781.0,1685700822.0,1701170177.0,1656555665.0,1701957998.0,1692799669.0,1701499053.0
1695606114.0,1701731724.0,1701689870.0,1700409778.0,1698931236.0,1676510121.0,1696984500.0,1701130096.0,1701976967.0,1698707739.0,1700604053.0,1694310785.0,1701191083.0,1701725114.0,1701379762.0,1698933669.0,1699448709.0,1698186191.0,1701889475.0,1685700577.0,1701170153.0,1656554823.0,1701957447.0,1692746299.0,1701385201.0
1695584138.0,1701730395.0,1701689746.0,1700408418.0,1698930889.0,1676470349.0,1696853911.0,1701093172.0,1701975433.0,1698686859.0,1700603953.0,1694310101.0,1701190972.0,1701724993.0,1701379725.0,1698856817.0,1699448625.0,1698182910.0,1701887734.0,1685442901.0,1701122412.0,1656553299.0,1701957102.0,1692727197.0,1701370212.0
1695477854.0,1701726776.0,1701684239.0,1700408141.0,1698864356.0,1676423806.0,1696852687.0,1701028930.0,1701973116.0,1698683755.0,1700603878.0,1694292507.0,1701190768.0,1701724582.0,1701379416.0,1698776756.0,1699448390.0,1698080581.0,1701886169.0,1685442646.0,1701122375.0,1654964042.0,1701956889.0,1692624147.0,1701262364.0
1695319951.0,1701725710.0,1701658644.0,1700357623.0,1698810551.0,1676423755.0,1696547613.0,1700874870.0,1701973048.0,1698683334.0,1700603325.0,1694283079.0,1701190539.0,1701724324.0,1701377637.0,1698759249.0,1699298592.0,1697712967.0,1701885926.0,1685403994.0,1701122356.0,1654085897.0,1701956667.0,1692553342.0,1701211788.0
1695222200.0,1701711563.0,1701657821.0,1700354570.0,1698776203.0,1676419915.0,1696523158.0,1700847646.0,1701972523.0,1698679859.0,1700603263.0,1694281445.0,1701180533.0,1701724230.0,1701374918.0,1698415363.0,1699298553.0,1697432720.0,1701885830.0,1685236166.0,1701122339.0,1653565311.0,1701956507.0,1692535588.0,1701192786.0
1695054706.0,1701705277.0,1701657209.0,1700325803.0,1698688232.0,1676418837.0,1696462532.0,1700777521.0,1701972447.0,1698251938.0,1700603204.0,1694276990.0,1701174874.0,1701723966.0,1701374684.0,1697805522.0,1699225839.0,1697424945.0,1701885789.0,1685183387.0,1701122256.0,1653483876.0,1701955851.0,1692535578.0,1701152851.0
